3
BİR,İKİ,BEŞ|Sayılar
HÜCRE,KOĞUŞ,VOLTA,FİRAR,CEZA|Hapishane
ŞEHİR,YOL,DAĞ,GÖL,NEHİR,DENİZ|Harita
KRAL,BABA,DAMAT,AMCA,İMAM|Erkek
ALKOL,RENK,MEYVE,ŞEKER,ŞURUP|Kokteyl
GIRTI,ZIMAN,SÖLYE,TİYE,TAJ,TÖZ|Şan...
HALI,BÖCEK,KOZA,KUMAŞ,İPLİK|İpek
AYI,BEYAZ,SİYAH,ÇİN,BAMBU|Panda
EMAIL,LINK,WIFI,MODEM,SİTE|Internet
YAT,OTUR,GEL,GETİR,TUT,YAPMA|Köpek eğitimi
LULUK,TANCI,LAMAK,LANTI,YEKÜN,LUM|Top...
TUAL,BOYA,FIRÇA,PALET|Resim yapma
LENMA,LEŞME,LÜK,CÜLÜK,CÜK|Söz...
AHMET,HASAN,ERDAL,ÇETİN,DOĞAN,HAKAN,EMRE|Erkek isimlmeri
DİCLE,GEDİZ,ARAS,FIRAT,ÇORUH|Nehirlerimiz
AORT,KAN,ARTER,KALP,YOLU|Kalp
BOĞAZ,LAMAK,NAK,AMAK,ALTIM,UNA|Boş...
KOYUN,KUZU,KEÇİ,TAVUK,HOROZ,HİNDİ,KOÇ|Küçükbaş hayvanlar
GÖREV,AJAN,GİZLİ,BİLGİ,SIR|Casusluk
AĞRI,BİLEK,DİZ,KALÇA,OMUZ,AYAK|Eklem
BİLEK,KADIN,DÜĞÜN,ALTIN,AYAR|Bilezik
ESER,LANMA,MERAN,İTLİK,SİYET|Şah...
KALIP,SANAT,TAŞ,TUNÇ,AĞAÇ,BÜST,ESER|Heykel
ÇAY,KAHVE,BÖREK,KEK,TATLI|İkram
YOL,GÜN,HABER,TALİH,ADAM,NİYET,KOMŞU|Kötü ...
DENİZ,KUR,SAÇ,DESEN,FÖN|Dalgalı ...
AYAK,GÜN,GECE,SAYI,KATIR,SATIR,YIL|Kırk
SIKI,TUCU,YEMİŞ,KAHVE,KAFA,LAMAK|Kuru...
EKLEM,KOL,NABIZ,SAAT,VÜCUT|Bilek
BULUT,MAVİ,UFUK,HAVA,GÜNEŞ|Gökyüzü
AĞACI,GUNCU,KIRIM,TARI,UNMAK|Soy...
DANA,İNEK,BOĞA,ÖKÜZ,DÜVE,SIĞIR|Büyükbaş hayvanlar
ODUN,KÖMÜR,TÜTME,KÜL,DUMAN,SICAK|Soba
ARTI,EKSİ,KUZEY,GÜNEY,SOĞUK,AYI|Kutup
YATAK,AKIŞ,DELTA,KOL,BARAJ|Nehir
JAPON,BALON,TON,KÖPEK,KAYA,KILIÇ|... balığı
KAYIT,CİHAZ,FİLM,VİDEO,LENS|Kamera
SİVRİ,İĞNE,BATAR,GÜL,ACI,TEL|Diken
LEME,LENTİ,LEŞİ,LENME,LEM|Söy...
FİZİK,KURAL,ESASİ,HUKUK,MÜZİK|Kanun
FON,BAYT,VAT,KENT,STAR,POL,HERTZ|Mega...
KALE,FİL,PİYON,VEZİR,ŞAH,MAT,ROK|Satranç
ZAMAN,AÇI,ÇAPLI,BANT,EKRAN,ÖZET|Geniş ...
AMUT,ASKA,AVRA,MİYE,YAÇO|Pal...
KAŞAR,BEYAZ,EZİNE,ÇEÇİL,DİL|Peynir çeşitlerimiz
GEÇEN,IŞIK,YENİ,ARTIK,DERS|Yıl
KİLAT,EKKÜR,EBBÜS,EKKÜL,BİH,HİR|Teş...
LEMEK,SELME,SÜNME,LEM,ÜMLÜ|Yük
NIKE,PUMA,VANS,CROCS|Ayakkabı markaları
KART,SUMAN,SİYON,ZEHİR,JURLU,DOMİM|Pan...
BİLİM,FİZİK,ALMAN,DEHA,NOBEL|Einstein
İLK,ORTA,YENİ,YAKIN|Tarih çağları
KABAK,ATOM,HÜCRE,İNCİR,KAHVE,ÜZÜM|... çekirdeği
MİNİK,UFAK,YAVRU,TIFIL|Küçük
YAPI,PERDE,ÜSTE,GİYİM,MODEL|Üst ...
ŞEHİR,BELDE,İLÇE,KÖY,BUCAK|Yerleşim yerleri
KARAR,KALEM,İNFAZ,CEZA,SANIK|İdam
STAR,TRT,SHOW,NTV,ATV,BEYAZ,YABAN,HALK|TV kanalları
ADRES,YANIT,KONU,SPAM,İLET|Email
ÇANAK,AKÇA,BAŞ,PAMUK,BOĞAZ|...kale (yerleşim)
YAZI,GÜN,LEM,ENLİ,İNE,MECE,TABAN,ENBAZ|Düz...
ÜZÜM,ÇİLEK,İNCİR,KİRAZ,ERİK|Yaz meyveleri
BAŞLI,AÇI,ÜÇGEN,YAKA,DURUŞ|Dik ...
TATİL,MAAŞ,SABIR,HAYAT|Hızlı biten şeyler

6
KÖPEK,YILDIZ,KEDİ,PİYANO,YALAN,MAAŞ|Kuyruğu vardır
FUTBOL,KUTUP,DENİZ,TAKIM,ÇOBAN|... yıldızı
ALANYA,DATÇA,KEMER,BODRUM,ÇEŞME,DİDİM|Turizm ilçelerimiz
BİLEK,HAYAL,ANKARA,KAS,BARIŞ,İNSAN|... gücü
ELMAS,ZÜMRÜT,YAKUT,SAFİR,TOPAZ|Değerli taşlar
SAAT,ÇAKMAK,GÖZLÜK,YÜZÜK,KÜPE,ŞAPKA|Aksesuar
HAMAK,DERE,PETROL,HASTA,YER,MOTOR,DENİZ|Yatak çeşitleri
BAŞ,SERÇE,YÜZÜK,ORTA,İŞARET|Parmaklar
BADEM,FISTIK,CEVİZ,KAJU,FINDIK,KAHVE|Kuruyemiş dükkanı
VAHA,KAKTÜS,DEVE,KERVAN,KUM,BEDEVİ|Çölde olur
ÇAĞI,PATENİ,ÇÖZÜCÜ,KALIBI,HOKEYİ,DAĞI|Buz ...
ÇİÇEK,KÖPEK,HORTUM,ÇARDAK,AĞAÇ|Bahçede bulunur
ÇARE,DURAK,DAKİKA,NEFES,ŞANS,GÜN,VERMEK|Son ...
TOP,MERMİ,TÜFEK,MAYIN,FÜZE,BOMBA|Askeri teçhizat
İÇMEK,GİBİ,SAVAŞI,SAMURU,ÇİÇEĞİ,DEPOSU,ALTI|Su ...
ÜSTTE,ALTTA,SAĞDA,SOLDA,ORADA,BURADA|Nerede olabilir?
AĞRISI,PERİSİ,MACUNU,İPİ,HEKİMİ|Diş ...
SIVI,GAZ,KATI,PLAZMA|Maddenin halleri
YERİ,TARİHİ,LEKESİ,GÜNÜ,ORANI,YAPMAK|Doğum ...
ASLAN,PUMA,KAPLAN,JAGUAR,LEOPAR|Büyük kediler
KURT,KANİŞ,TAZI,KANGAL,BULDOG,PİTBUL|Köpek cinsleri
GÜÇ,BENZİN,MARKET,SONİK,MEN,MODEL,MARIO|Süper ...
SAHNE,BASKÜL,HALI,KONU,AYAK|Üzerinde durulur
YÜKLEM,ÖZNE,TÜMLEÇ,ZARF,NESNE|Cümlenin öğeleri
ALKOL,ŞİŞE,SPREY,İKRAM,LİMON,TÜTÜN,TIRAŞ|Kolonya
CADDE,MEYDAN,ŞERİT,BULVAR,SOKAK|Yol
ÇİÇEK,ZEKA,ORGAN,GÖL,GÜNDEM,ÇİM|Bazen yapay olur
TAKIR,ZAMANI,ALTIN,TAMINA,SAYI,TAHIL|Tam ...
GAZ,FREN,SİNYAL,DİKKAT,AYNA,PARK|Araba sürme
PAZARI,DOSTU,EVİ,BORCU,YAKMAK,SIKMAK|Can ...
İSRAİL,SURİYE,KUVEYT,MISIR,IRAK,YEMEN|Orta doğu
İFTAR,SAHUR,EZAN,BAYRAM,SULTAN,HURMA|Ramazan
EKMEK,PEYNİR,ÇAY,ZEYTİN,SÜT,GAZETE|Alış-veriş listesi
PARFÜM,RİMEL,PUDRA,FIRÇA,PAMUK,TOKA|Tuvalet masası
MENZİL,ÇALAR,ATLAMA,SÜRE,ETEK,KOLLU|Uzun ...
SAĞLIK,TERAPİ,ŞİFA,MASAJ,SAUNA,HAMAM|Spaya gidiyorum
SUSAM,ZEYTİN,FISTIK,MOTOR,MISIR,GÜL,FINDIK|İçinden Yağ çıkar
PARA,ÖDÜL,İTİBAR,ZAMAN,ÖNEM,MAÇ,GÜVEN|... kazanmak
HAMUR,OKLAVA,MAYA,TEPSİ,FIRIN|Börek yapalım
SÜT,YÜN,DERİ,ÇOBAN,SÜRÜ,MEMELİ,GEVİŞ|Koyun
MANÇO,GÜCÜ,PINARI,YAPMAK,MESAJI|Barış ...
TIRNAK,SAÇ,SAKAL,ÇİM,BOY,GÜNLER|Kısalır
ZÜMRÜT,GÜL,ÇİLEK,KAN,NAR,KİRAZ|Sana kırmızı çok yakışıyor
AMPOL,APNEL,KÜTERİ,LATAN,TLANMA,TNAME,KICI|Şar...
AŞÇI,KAŞIK,MASA,PEÇETE,MENÜ,MUTFAK,GARSON|Restoran
UÇAK,PLANÖR,JET,DRON,BALON,ZEPLİN|Hava taşıtları
TARKAN,GÖKÇE,SILA,İZEL,KIRAÇ,KUBAT|İsimleriyle tanınan şarkıcılar
BÖCEĞİ,MUMU,ARISI,KÖPÜĞÜ,KABAĞI,KOVANI|Bal ...
VİŞNE,KİRAZ,ÜZÜM,KAYISI,ERİK|Komposto
KUPA,MAÇA,KARO,SİNEK,PAPAZ,BACAK,KIZ|İskambil kağıtları
BULGUR,BİBER,SOĞAN,SALÇA,MARUL,TUZ|Kısır
APNESİ,DÜZENİ,HAPI,ÇEKMEK,TULUMU,SAATİ|Uyku ...
ZEYTİN,EKMEK,PEYNİR,OMLET,REÇEL,BAL,SALAM|Kahvaltılık
KIZ,KAYISI,TAHTA,DUT,GÜL,GÜN,SEBZE|... kurusu
PİLAJ,PİKNİK,HAVUZ,TATİL,KARPUZ,ŞORT,TER|Yaz
NEDEN,NASIL,NEREDE,KİM,HANGİ|Çok soru sordun!
TRAFİK,ARABA,KURS,BELGE,GEÇME,KALMA|Ehliyet sınavı
SES,PİJAMA,PARA,PİLAV,SET,DİZ|... üstü
DELL,APPLE,LENOVO,ASUS,ACER,HUAWEI|Bilgisayar markaları
BUZLUK,FIRIN,SİLO,AĞIZ,SEPET,FOLYO,MİDE|İçine yiyecek konur
PİYON,BABA,BREL,PANYA,PUAN,ANİST,DAN|Şam...
TAKI,AYAK,CÜZDAN,DANS,MÜZİK,ÇİFT,TÖREN|Düğün
MÜZE,TARİH,KULE,ZİNDAN,SAĞLAM,ASKER|Kale
KUTUP,TEDDY,PANDA,POOH,RUSYA,YOGİ,BÜYÜK,BAL|Ayı
TATLI,MÜZİK,SİGARA,TİCARİ,KUSUR,YÜK|Hafif ...
GECE,SOKAK,MASA,TEPE,GAZ,STOP,SİNYAL,İKAZ,SİS|... lambası
YILDIZ,UYKU,BEKÇİ,RÜYA,BAYKUŞ|Gece olur
TÖREN,ANMA,SESSİZ,ASKERİ,BİR,DAKİKA|Saygı duruşu
BANKA,TAKSİT,ÖDEME,PARA,FAİZ,KART|Kredi
FOCUS,FIESTA,MONDEO,PUMA,GALAXY|Ford ...
ARKIN,NAŞİT,SUNAL,GRUDA,GİRİK,AKIN,İNANIR,SALMAN,ÖZKUL|Yeşilçam efsaneleri
VARİL,ÜZÜM,EZME,HASAT,ŞİŞE,MAYA|Şarap yapımı
ZEYBEK,OYUN,FUTBOL,LOTO,KUMAR,ATARİ|... oynamak
BUZAĞI,ENİK,CİVCİV,KUZU,OĞLAK|Yavru hayvanlar
ZEYTİN,SOSİS,SUCUK,SOS,BİBER,MISIR,PEYNİR|Pizza malzemesi
BARİ,DİK,HAKİ,LİYA,SADA,REFA,ŞEF,TARİ,TATBİ|...kat
TAVUK,İNEK,TARLA,AĞAÇ,TEZEK,EKMEK|Köy
OYUN,BAYRAK,TAKSİ,DESEN,GALİP|Dama
BATAK,ÇAM,DUT,GÖZ,KOL,KUTU,LAMA,VANA,BÜK,MEL|Kara...
SULTAN,PAŞA,BEY,EFENDİ,VEZİR,HAN,NAZIR|Osmanlı ünvanları
KAZMA,KÜREK,MAKAS,HORTUM,TIRMIK|Bahçe araçları
ERON,IRMAK,KINLIK,LAMAK,KENT,KÖPRÜ,INMAK|Taş...
TOPRAK,KAZMAK,MEMELİ,KÖR,CASUS|Köstebek
İNSAN,YUNUS,MAYMUN,TİLKİ,KÖPEK,KARGA|Akıllı olurlar
KEPÇE,KANAL,ÇEKİÇ,ÖRS,ZAR,SİNİR|Kulak
UCAN,UNGAÇ,UNUM,ÜSYON,LAMA,ARYUM,FEJ|Sol...
KULAK,BACAK,AYAK,BURUN,GÖZ,KOL|Dış organlarımız
SUBARU,HONDA,TOYOTA,NİSSAN,MAZDA,SUZUKİ|Japon arabaları
RACON,ASKAM,DÖNER,TIRNAK,YAYINI,İLİŞİK|... kesmek
RUJ,OKUMA,KALEM,DOLGU,UÇUK,KURU|Dudak
KUSUZ,ADASI,BURNU,ATMAK,ANMAK,BAŞI,YEMİ|Kuş...
GÖVDE,KABUK,YAPRAK,KÖK,DAL,BUDAK|Ağaç kısımları
BOYNUZ,GAGA,KUYRUK,PENÇE,KANAT|İnsanda olmayan organlar
KUZEY,GÜNEY,ÇEKİM,PUSULA,METAL|Mıknatıs
GÜLÜ,DÜRME,EKLİ,PRİZ,TÜNME,ÜNGEN,MENE,ÜNME|Sür...
KAĞIT,BANT,CETVEL,KALEM,ZIMBA,DEFTER|Kırtasiye
HAVUZ,DALMA,KULAÇ,HAVLU,KULVAR|Yüzme
GECE,TAKIM,ŞİFON,PİLELİ,ABİYE,GÜNLÜK|Elbise
ARABA,SAÇ,CİLT,KOMBİ,TIRNAK,ÇİM,KLİMA,BACA|Bakım gerektirir
PETROL,FUTBOL,HAVA,GOLF,İNŞAAT,OYUN|... sahası
RETİNA,KORNEA,BEBEK,İRİS,LENS,KAPAK||Göz
EGE,KONAK,ŞEHİR,DENİZ,FUAR,BOYOZ|İzmir
KALYA,LANMA,TANE,PAS,TIRMA,TORAL,LAŞMA|Pas...
DOKSAN,NOKSAN,İHSAN,İNSAN,LİSAN,NİSAN|Korsan ile kafiyelidir
BONCUK,MİNNOŞ,DUMAN,PAMUK,ÇAKIL,LOKUM|Popüler kedi isimleri
GİBİ,TEL,BASMAK,KAĞIT,OFİS|Zımba
ARAMA,PİSTON,DİZEL,BUHAR,TÜRBİN,YAKIT|Motor
GÜN,TRAFİK,GÜNEŞ,FLAŞ,UMUT|... ışığı
ZÜRAFA,FİL,MAYMUN,ASLAN,TİMSAH,SİNCAP,YILAN|Hayvanat bahçesi
AKTRİS,ABAKÜS,ABES,ALYANS,ANANAS,ANONS,ATLAS,AVANS,AJANS|A...S
KOALA,TAVŞAN,KEDİ,KÖPEK,KUZU|Sevimli olurlar
MİDE,ŞİMŞEK,VOLKAN,TREN|Homurdayan şeyler
BİRAZ,AŞIRI,BİRÇOK,OKKALI,CÜZİ,NOKSAN,BOLCA|Miktar belirtir
AYNUR,AYŞE,CANSU,NESRİN,MELTEM,HİLAL,GÜLÇİN|Kız isimleri
KONU,NOKTA,TERAZİ,CİLT,KARGO,BÖLGE,GÖREV|Hassas ...
SAKAL,DAĞ,İNATÇI,PEYNİR,SÜT,MEMELİ,SÜRÜ|Keçi
KAPAK,BÖLÜM,BASKI,YAZAR,CİLT,ÖNSÖZ|Kitap
SANAYİ,KESİCİ,GELİR,ETKİ,AYNA,ODA,YATMAK|Yan ...
SAPAN,FRİZBİ,ARABA,BARBİE,BATMAN,LEGO|Oyuncak sepeti
GİZLİ,HARİTA,GÖMÜ,SANDIK,KÜP,KAZI,ARAMA|Define
SEYİS,SOSİS,SERVİS,SİVAS,SEANS,SİNÜS|S...S
KOVBOY,SALON,ŞERİF,ÇİZME,KEMENT|Vahşi batı
GÖZLÜK,BANYO,DOĞUS,BATIŞ,YANMAK,IŞIN,ENERJİ,KREM|Güneş
KELİME,HARF,BULMA,TAHMİN,TABLO|Bu oyun
FIRIN,TARİF,DİLİM,KALIP,ŞEKER,ÜZÜM,KAKAO,PİŞME|Kek
LİMAN,LEĞEN,ANNE,LAÇ,ÇÜLÜK,OĞLAN,LÜCE|Süt...
BANYO,MUTFAK,KİLER,ANTRE,SALON,GARAJ|Evin bölümleri
DOLAP,KUTU,KASA,GARAJ,TORBA,BAZA|Muhafaza yeri
TELSİZ,GAZ,JOP,SİLAH,ROZET,KİMLİK,FENER,KALKAN|Polis
SİGARA,OZON,RETİNA,SAYDAM,CİLT|Tabaka
ÇİFT,ORGAN,FİLTRE,TAŞ,TOKSİN|Böbrek
TEKİR,SARMAN,İRAN,VAN,ANKARA,SİYAM|Kedi türleri
TARAF,TELEF,TEŞRİF,TEKLİF,TARİF,TUHAF,TELİF|T...F
ÇENGEL,SAĞDAN,SOLA,GAZETE,ÇAPRAZ,KELİME,BİLGİ|Bulmaca
YANMA,YANGIN,ISI,IŞIK,PİŞME,DUMAN|Ateş sebep olur
KULAK,ALIN,ŞAKAK,BEYİN,AĞIZ,YANAK,ÇENE|Kafada olur
ATEŞ,UĞUR,HAMAM,İPEK,BAL,CIRCIR|... böceği
YILDIZ,İNSAN,FLAŞ,LED,AMPUL,IŞIK|Parlak
TAMAM,OLUR,HAYHAY,TABİ,EVET,HEMEN|Olumlu cevap
FETLİ,BASTI,LİYAT,TÜREL,TÜRLÜ,ÜSTÜR,LİYEN|Kül...
ANTİKA,TAŞ,PLAK,MÜZİK,İĞNE|Gramofon
SEIKO,ROLEX,CASIO,SWATCH,OMEGA,ZENITH|Ünlü saat markaları
KORUMA,ÇEVRE,DÖVÜŞ,DESTEK,PLAN,ÇAĞ|Yakın ...
BİTİK,ŞARJ,DİNAMO,ASİT,İTMEK,VOLTAJ|Akü
FİYONK,BURGU,YÜKSÜK,BUKLE,KUSKUS,KALEM|Makarna
TUŞ,KLAVYE,ŞERİT,KAĞIT,DİNG,ESKİ|Daktilo
HATIRA,OLAY,GİZLİ,SAKLI,ÖZEL,KAYIT,YAZI|Sevgili günlük
TOST,ÇAVDAR,MISIR,YULAF,KEPEK|... Ekmeği
GİRİŞ,SINIR,YANGIN,GARAJ,KAZANÇ,GELİR,GÜMRÜK|... kapısı
MAKAS,BIÇAK,SİLAH,YANICI,SIVI,İĞNE|Uçakta yasaktır
SAMAN,TAHIL,HAYVAN,KOVA,BALYA,YEMLİK|Ahır
PACMAN,TETRIS,MARIO,FIFA,QUAKE,DOOM|Video oyunları
SÜZGEÇ,MUTFAK,DELİK,ARAÇ,ELEK|Kevgir
FLAMAN,EDİSON,PARLAK,WATT,CAM,DUY,PATLAK|Ampul
DİSKET,REÇEL,ASKER,TARLA,POLİS,ARABA|Sürülebilir
MARLEY,PARKE,FAYANS,HALI,MERMER|Zemin kaplaması
PİLAV,TANE,ALAŞIM,BİTKİ,TARIM,BALDO,METAL|Pirinç
DÜNYA,KARPUZ,KÖPÜK,DAMLA,BİLYA,MARS,TOP|Küre
GÜL,YALAN,DİZİ,PANJUR,KÖŞK,MUTLU,RENK|Pembe ...
SALON,SEANS,KOLTUK,BİLET,MISIR,PERDE|Sinema
FLAŞ,ODAK,LENS,POZ,IŞIK,VİZÖR|Fotoğrafçılık
KALİTE,BAHAR,AŞAMA,DEFA,YARI,ŞANS,SIRA,ADIM,KAT,TUR|İkinci ...
MİKTAR,TOPLAM,FİYAT,TARİH,KDV,MALİYE,CEZA|Fatura
KETÇAP,KAN,YAĞ,ÇAMUR,ÇİMEN,ÇAY,KAHVE,BOYA|İnatçı lekeler
SPACEX,TESLA,ZENGİN,UZAY,UYDU|Elon Musk
SEKSEK,MİSKET,İSTOP,KÖREBE,BEŞTAŞ|Eski çocuk oyunları
RÜZGAR,DÜMEN,DEMİR,DALGA,PUPA,MARİNA|Yelkenli yat
YEMEK,OKUL,BOYAMA,MASAL,CEP|... kitabı
YARDIM,AŞK,ADIM,DEFA,ONBİR,TERCİH,KEZ|İlk ...
KELİME,ALFABE,DİL,ANLAM,ÖRNEK|Sözlük
ŞAMDAN,ÇİÇEK,ÇARŞAF,YORGAN,SAAT,TABAK|Ev hediyesi
ORMAN,MAKİ,BOZKIR,ÇAYIR|Türkiye bitki örtüsü
ARPA,MAYA,VARİL,MALT,ALKOL,ŞİŞE|Bira yapımı
BANKER,PARA,FİLE,YEM,KAPAN,PUSU|Tuzak
MEYVE,SEBZE,PEYNİR,ÇORAP,ÇANTA|Pazar yeri
İZİ,EKLEMİ,UCU,ARASI,ATELİ,BASMAK|Parmak ...
ÇÜRÜK,KUŞ,CİVCİV,OMLET,SARI,BEYAZ,KIRIK|Yumurta
KORSE,KEMİK,KOLON,SÜTYEN,AİLE,YASTIK|Destek
ALKIŞ,TAŞIMA,TUTMA,ÖRME,DUA,SELAM|Eller kullanılır
NOYAK,NTEZ,LAMAK,NOYA,GÖZ,GRAF,LEL,ŞÜT,VAN|Para...
ÇİPURA,LÜFER,MEZGİT,KALKAN,LEVREK,HAMSİ,TEKİR,KILIÇ|Balık menüsü
KARPUZ,HAMAK,ÖRTÜ,MANGAL,KÖMÜR,TÜP,TOP,ÇAY|Piknik malzemeleri
OKUL,AYNA,PERDE,LAMBA,TABLO,PALTO|Asılabilir şeyler
SAAT,FAN,DÜNYA,DANSÇI,TEKER|Sürekli döner
NOKTA,VİRGÜL,TIRNAK,ÜNLEM,KESME|Noktalama işaretleri
DİREN,FAKA,FİLE,KARAT,MAĞLUP,MAZGAH,MERT,ZARLIK|Na...
İĞNE,MAKAS,İPLİK,MEZURA,KUMAŞ,DÜĞME|Terzi
ORTA,ZİGON,FİSKOS,YAN,LAPTOP|Sehpa türleri
ÖDÜNÇ,HABER,REKLAM,İLAN,KİLO,HİZMET,ZARAR,ŞANS,İZİN|... vermek
DUMAN,ATIK,EGZOZ,ÇEVRE,TAŞIT,ÖLÇÜM|Emisyon
ÜTÜ,FIRIN,OCAK,HALI,KİLİM,PERDE,MİKSER|Ev eşyaları
TAKSİ,DOLMUŞ,OTOBÜS,VAPUR,TREN,UBER|Ticari taşıtlar
LİRA,KARASI,KREMİ,NUMARA,TUTMAK,YÜZE|Yüz ...
TAŞ,ZİNCİR,BONCUK,KLİPS,TAKI,HALKA|Bijuteri
NOTA,SOLFEJ,RİTİM,TEMPO,ÖLÇÜ,PERDE,OKTAV,GAM|Müzik terimleri
AŞIK,BAĞLI,ABONE,EMEKLİ,MUTLU,ADAM,UYGUN|... olmak
MAVİ,BALIK,KUM,YÜZMEK,GEMİ,YOSUN|Deniz
TABLO,BİBLO,ÇİÇEK,ŞAMDAN,TABAK|Dekorasyon
ÇITA,RÜZGAR,İPLİK,HAFİF,KUYRUK,ÇOCUK|Uçurtma
TAŞ,KAYA,KATMAN,SİSMİK,MADEN|Jeoloji terimleri
