3
CAT,DOG|Pets
BUS,SKIRT,COOPER,BAR|Mini ...
CELLO,RAIN,ARCHER,BOAT,RIBBON|Has a bow
HEEL,LACE,SOLE,TONGUE,LINING|Parts of a shoe
CLUB,LIGHT,MARE,GOWN,VISION,CAP|Night ...
LOCKER,PANTRY,ATTIC,GARAGE|Storage places
RANGE,DAY,WIFE,FIELD,NIGHT|Mid...
NIKE,PUMA,VANS,CROCS,TOMS,REEBOK|Shoes
YOLK,EASTER,SHELL,OMELET,CRACK,BIRD,DOZEN|Egg
PARTS,TIRE,ROOM,TIME,RIBS,CHANGE|Spare ...
CARPET,TAPE,FILM,BREAD,TURF,SUSHI|Comes by the roll
VASE,ROSE,SCENT,STEM,PETAL,LILY,DAISY,IRIS|A bunch of flowers
MODERN,CARD,BOX,OFFICE,MORTEM,CODE|Post ...
CANDLE,SOAP,ERASER,YARN,PENCIL|Gets smaller over time
STAIRS,LOAD,TOWN,TIME,GRADE,HILL|Down ...
PAY,BIRTH,DOOMS,HEY,EVERY,HUMP|... day
TEA,COFFEE,CEREAL,OREO|With milk
HORSE,HONOR,BRAVE,ARMOR,SWORD|Good knight
DAIRY,SKIM,COW,GOAT,CARTON|Milk
STRIPE,WAVE,DOTTED,PLAID,SPIRAL|Pattern
TRUCK,SIREN,RESCUE,HOSE,LADDER,SMOKE|Fire fighting
LUCK,STOCK,SYNC,ORDER,DATE,WORK,SIGHT,FOCUS|Out of ...
SHIFT,ENTER,SPACE,DELETE,TAB,ESCAPE|On a keyboard
SITE,NORMAL,CHUTE,METER,SAIL,GRAPH|Para...
TONGA,HAWAII,FIJI,PAPUA,SAMOA,TAHITI|Pacific islands
MOUSE,DOOR,SHOES,WHEEL,CHEESE|Squeaky
PAY,COME,HUMP,FEED,PLAY,OUT,PAPER,FLASH|... back
GUARD,SIREN,ALARM,LOCK,CAMERA|Security
GUM,CORN,SODA,EARS,PIMPLE|Things that pop
PENCIL,SHOW,WORST,INTHIS,STAIR,PILLOW|... case
BURN,SHOOT,ALARM,CAMP|Fire
EYES,MOUTH,DOOR,WALLET,WINDOW,BOOK,DRAWER|Opened every day
DEFEAT,GIFT,BLAME,OFFER,FATE|Things you can accept
VALUE,VODKA,POWER,ZERO|Absolute ...
KILL,HIGH,HARD,TAKE,SPARE|... time
BULLET,NAP,BREAK,BITE,CHANCE|Take a ...
PEACH,PEAR,PAPAYA,PLUM|Fruits: P...
POODLE,BOXER,BEAGLE,HUSKY|Dog breeds
SNOW,SLEET,GLOVES,COLD,COAT,BOOTS|Winter
TOOTH,GUMS,DRILL,CAVITY,MOLAR,ENAMEL|Dentist
ROBBIE,ROBIN,PRINCE,SERENA|Well-known Williams
JAPAN,KICK,PUNCH,BLOCK,STRIKE|Karate
HALL,BENCH,BIRTH,LAND,BOOK,DEN|...mark
FOOT,KARAT,RULER,PINT,YARD,INCH,MILE,WIDTH,VOLUME|Measurement
GLAD,JOYFUL,MERRY,AMUSED,JOLLY,PERKY,CHIRPY|Happy
RADAR,SCUBA,MODEM,LASER|Acronym words
SPA,LIGHT,BREAK,CARE,DREAM|Day ...
LENS,CORNEA,PUPIL,IRIS,RETINA|Eye
CHEST,MAP,GOLD,CURSE,JEWEL|Buried treasure
WINTER,ICE,COUGH,SNOW,SNEEZE,FLU|Cold
WORK,DOWN,OVER,TRUCK|... load
MEAT,ALERT,WINE,CROSS,LINE|Red ...
CARPET,BRAKE,LADDER,STAGE,SCALES|Step on it
UNITE,AGREE,CARE,HELP,SHARE|Be friends
SAND,NAPKIN,COUPON,TOWEL,LETTER|Paper
CLAP,CARRY,HOLD,KNIT,PRAY,GREET,GRAB|Use your hands
SKY,GHOST,COPY,TYPE,SIGN,SONG,SCRIPT|... writer
HOT,BREAST,SALAD,GOLD|... plate
DOLLAR,YEN,EURO,RUBLE,FRANK,YUAN|Currency
BIRD,BREAST,FARM,COWARD,WINGS,FOWL|Chicken
TOMCAT,KING,FATHER,GROOM,NEPHEW,UNCLE,FELLOW|He
VOICE,SOUND,MUSIC,ECHO,BOOM,NOISE,CLICK|Did you hear that?
BALL,FIRE,ARM,SAND,MOSH|... pit
LADDER,LIFT,MOOD,PISTON,YOYO,GRADES|Up & down
LIKE,SPAN,STORY,STYLE,FORM,BOAT,GUARD|Life ...
TOMATO,LEMON,ORANGE,APPLE,CARROT|... juice
WHERE,HOW,WHAT,WHO,WHY,WHEN|Questions
COUCH,STOOL,CHAIR,SOFA,BENCH,SWING|Take a seat
POLLEN,CATS,EGGS,DAIRY,GLUTEN|Allergies
UPON,UNDER,THERE,NORTH,BELOW,OVER,RIGHT|Where could it be?
WIPES,TOWEL,TOY,BOTTLE,LOTION,SLING|Baby supplies
WATER,TRADE,TWAIN,CHECK,BEAUTY|Mark
HORN,CLAW,BEAK,TAIL,TRUNK|Non-human bodyparts
APNEA,CYCLE,WALKER,OVER|Sleep ...
BEING,DONE,KNOWN,AWARE,SPOKEN|Well ...
BLOOD,WATER,POINT,PEER,COOKER|Pressure
VETO,NOPE,DENIAL,NAY,SNUB,NEVER|Refusals
NOSE,SHOES,WILD,MATE,JOKE,AWAY,WATER,AMUCK|Running ...
TIMES,MINUS,DIVIDE,PLUS|Math class
SHORTS,TRUNKS,JEANS,CHINOS,SLACKS,KHAKIS|Bottoms
RINSE,CLEAN,SOAP,GERMS,BASIN,WATER,SCRUB|Handwashing
MAYA,AZTEC,ROMAN,INCA|Ancient civilizations
BITE,HUNGRY,UNDEAD,CORPSE,FLESH,HORROR|Zombie
DECOY,NET,BAIT,RUSE,AMBUSH|It'a a trap
PRINT,TIP,PAINT,NAIL,PUPPET|Finger ...
RINGER,END,WEIGHT,SEA,BOLT,LOCK|Dead ...
SNOUT,STY,MUD,SWINE,PEPPA,SOW|Pig
POOL,PLUNGE,TOWEL,DIVE,FLOAT,SPLASH|Swimming
CLASS,DARK,BATH,COURT,REST,SHOW|... room
MEMORY,WEIGHT,SIGNAL,KEYS|Things you can lose
PACMAN,DOOM,TETRIS,FIFA,PONG,QUAKE|Video games
KNOCK,DEBT,GNOME,SWORD,MUSCLE,LAMB|Contains silent letters
PINKY,VOW,SWEAR,OATH,PLEDGE|It'a promise
RANGE,STORY,BOW,TERM,HAIR,JUMP,DRESS|Long ...
RINSE,SCRUB,WATER,SOAP,GERMS|hand washing
TERA,GIGA,MEGA,KILO,PETA|...byte
MEDAL,CROWN,RIBBON,CUP,TROPHY,SASH|For achievement
FRESH,FALL,SALT,PISTOL,FIGHT,DRINK|Water
KID,INFANT,MINOR,NIPPER,RUGRAT|Child
SCREW,LEVER,WHEEL,WEDGE,PULLEY|Simple machines
CAR,TRACK,FINISH,CUP,SPEED,DRAG|Motor racing
BEHIND,TURN,WING,BRAIN,HANDED|Left ...
ISRAEL,SYRIA,KUWAIT,EGYPT,IRAQ,YEMEN|The middle east
MINE,WEAR,RATED,DOG,WATER,STAND,ARREST,GROUND|Under ...

7
RUGBY,JUDO,FENCING,BOXING,KARATE,GOLF,SUMO,TENNIS,POLO,CYCLING|Sports
CAKE,ADVICE,PAPER,WRITING,FRUIT,JUNK|A piece of...
CHICKEN,DUCK,GOOSE,TURKEY|Poultry animals
HEARING,SIGHT,SMELL,TASTE,TOUCH|5 senses
COMEDY,ACTION,DRAMA,MYSTERY,ROMANCE,HORROR|Movie genres
WAVE,ACTIVE,HEAD,STATION|Radio ..
SOLDIER,CANNNON,NAVY,RIFLE,MORTAR,MINE,TORPEDO,BAZOOKA|In an army
SORROW,SADNESS,GRIEF,DESPAIR|Heartache
RUNWAY,PLANE,SHUTTLE,PILOT,GATE,BAGGAGE|At the airport
MIRROR,BRAKE,SIGNAL,STEER,STOP|Drive a car
TRUCK,WAGON,CART,BUGGY,CHARIOT,TROLLEY|Things with wheels
CARROT,LENTIL,TURNIP,SPINACH,SOYBEAN,QUINOA|Vegetarian
HORSE,COWBOY,SALOON,SHERIFF,BOOTS,LASSO|The wild west
LETTER,SEARCH,SWIPE,PUZZLE,WORD|About this game
PINKIE,RING,THUMB,INDEX,MIDDLE|Fingers
SERBIA,SYRIA,SPAIN,SOMALIA,SUDAN|S countries
SECRET,HIDDEN,COVERED,MASKED,VEILED|Unseen
HERO,GLUE,POWER,SIZE,SONIC,MODEL,MAN,MARKET,STAR|Super ...
ITALY,BRAZIL,SPAIN,FRANCE,GERMANY|World cup winners
JINGLE,ALARM,CHURCH,WEDDING,SLEIGH|... bells
SEAT,PEDALS,SHIFTER,CLUTCH,BRAKE|Motorcycle parts
VERSACE,DIOR,ARMANI,CHANEL,GUCCI,CARTIER|Fashion brands
DEAL,MAC,BROTHER,FOOT,PICTURE,TIME|Big ...
ART,HAIR,WEATHER,JEWELRY,LINE,WINE|Fine ...
BANK,FOOT,KEY,MUSICAL,STICKY|... note
DEADEND,NOENTRY,STOP,ONEWAY,YIELD,STAR|It is a sign
ROUND,REFEREE,RING,PUNCH,CORNER,GLOVES|At a boxing match
PHRASE,FACE,COOK,NOTE,TEXT,COMIC|... book
POWER,VOLUME,BUTTON,CHANNEL,HDMI|TV remote
YEAR,CHANCE,NIGHT,MINUTE,RESORT,SUPPER,TIME|Last ...
ANGRY,ANNOYED,TENSE,UPSET,VEXED,PEEVED|Frustrated
STICK,BALM,LINER,SYNC,GLOSS,READING|Lip
UNUSUAL,WEIRD,ODD,EERIE,FREAKY|Strange
SCREW,STUNT,TRUCK,BUS,SAFE,DRUNK,CAB|... driver
STATION,PEN,DEAD,TIME,BACK,GROUND,DOH|Play ...
CATWALK,MODEL,EVENT,STYLE,BEAUTY,COUTURE|Fashion show
KETCHUP,CHERRY,CHILI,TOMATO,APPLE|Red edibles
SAUNA,MASSAGE,TAN,ROBE,JACUZZI|At the spa
COMEDY,ROWAN,SITCOM,SILLY,MISHAP|Mr. Bean
OUT,COFFEE,DAY,HEART,LUNCH,PRISON,LUCKY|... break
SURGERY,DUMP,WASH,STORM,FREEZE|Brain ...
IDOL,CEILING,TURBINE,BAND,SINGER,ACTOR|Things with fans
BUTTON,HOOK,LOCK,LATCH,FASTEN,TIGHTEN|Secure it
EASEL,CANVAS,BRUSH,STROKE,PALETTE|Paint a picture
BARREL,GRAPE,AGEING,CRUSH,HARVEST,BOTTLE|Making wine
ROOK,QUEEN,KING,BISHOP,PAWN,KNIGHT|Chess
RIDDLE,CASE,PUZZLE,PROBLEM,MYSTERY|Things you can solve
MIRROR,COST,STORE,FASHION,SIZE,SALE|Clothes shopping
SIGNAL,ALERT,SOS,DANGER,CRISIS|Mayday!
GAME,CROSS,CARRY,HANG,LEFT,TAKE,TURN|... over
JOKE,TRICK,PIG,DISHES,DANCING|Dirty ...
LIVED,THEY,HAPPILY,ONCE,EVER,UPON|Fairy tail start & end
LETTER,CITY,GROWTH,GAINS,ASSET|Capital ...
CASTLE,WATER,PLANT,PEBBLES,FILTER,SNAIL|In a Fish bowl
QUICKLY,HURRY,SOON,NOW,STAT|ASAP
WEIGHT,COOKED,GROWN,DUE,DRIVE,CROWDED|Over ...
CHEW,LICK,TALK,EAT,BURP,BITE,KISS,YAWN,BLOW,WHISTLE|Mouths do it
MELODY,LYRICS,RHYTHM,CHORUS,BEAT|Write a song
COACH,TUTOR,TEACHER,MENTOR,ADVISOR|People who educate
ACROBAT,SPRING,BOUNCE,BOING|Trampoline
BARLEY,YEAST,BARREL,MALT,ALCOHOL|Brewing beer
BLUSH,HOT,ANGRY,NERVOUS,FLUSHED|Red face
OKAY,TRUE,ROGER,CORRECT,AGREED,ALRIGHT|Yes
MEETING,BOOKING,FLIGHT,PLANS,ORDER|May be cancellled
SHORE,SIDE,ROAD,LINE,BEAT,SPRING,SET|Off...
VODKA,GIN,RUM,BOURBON,WHISKY,TEQUILA|Spirits
PIN,TURNING,POWER,FINE,CONTACT,BOILING|... Point
LICENSE,TICKET,CASH,PHOTO,CARDS|In your wallet
LIGHTS,WREATH,TREE,BAUBLES,TINSEL|Holiday decorations
KNOWN,LIKELY,ABLE,FAIR,ZIP,USUAL,HAPPY|Un...
CONTROL,ESTEEM,DEFENSE,TAUGHT,RESPECT|Self ...
REPORT,FORM,INVOICE,PRINT,BILL,FILE|Paperwork
BREAD,POPCORN,CAKE,PASTA,RICE|Bigger when cooked
BENCH,HORSE,OUT,FORCE,PLACE,AROUND|Work...
PRONOUN,NOUN,VERB,ADVERB|Parts of speech
CEREAL,CELERY,NUTS,CARROT,CHIPS|Crunchy bites
FORCE,CLOSE,CHANT,VISION,RICH,ABLE,COURAGE,TANGLE|En...
RIBBON,SCARF,KNOT,TONGUE,BANDANA|Tied
NEWS,OMEN,HABIT,LUCK,WEATHER,APPLE|Bad ...
SCIENCE,ANIMALS,TRAVEL,CHANNEL|National Geographic
COLD,LICK,DESSERT,DAIRY,CONE,SWEET,FROZEN,MELT|Ice cream
MOON,TRAFFIC,DAY,SUN,FLASH,HEAD,HIGH,STREET|... light
TOOTH,PALATE,TONGUE,LIP,CHEEK|Watch your mouth
FIG,MANGO,PEAR,PEACH,PLUM,GRAPE,BANANA,APPLE,CHERRY,LIME|Fruit
FORCE,VENTURE,ACCOUNT,ESTATE,CUSTODY|Joint ...
LIMB,FLOWERS,SNOW,TURF|Sometimes artificial
AHEAD,ANGLE,FORWARD,LINE,ARROW,FACE|Straight
BEARING,AXLE,ROTATE,SPIN,ROUND,CIRCLE|Wheels
NORTH,SOUTH,ATTRACT,PULL,COMPASS|Magnet
COFFEE,CHEESE,BREAD,MILK,EGGS,JUICE|Grocery list
CINEMA,MEAL,TEA,SUNSET,THEATER|Sit and enjoy
AWARD,RESPECT,TRUST,PRAISE,MONEY,TREAT|You earn it
SIGN,SYMBOL,TALKS,TREATY,MAKER|Peace ...
THIRST,SUGAR,ICE,WATER,SOUR,SUMMER|Lemonade
NIRVANA,OASIS,REM,MADONNA,BJORK,PRINCE|90s music
HAIR,LADY,PLAY,WAY,TRADE,GROUND,SKIN,ENOUGH|Fair ...
ELASTIC,TIME,MUSCLES,TRUTH,BUDGET,WINGS|Stretched
GRENADE,CASKET,MATCH,TIME,BULLET|Used only once
TOWEL,TIDE,SWIM,SHORE,SAND,LOTION,BIKINI,BUCKET|At the beach
STEP,GRAND,FORE,GOD,BIRTH|... father
PHOBIA,UNLUCKY,FEAR,OMINOUS,UNEASY|Friday the 13th
ROCK,BROAD,WAIST,HEAD,RUBBER|... band
PALM,SOYBEAN,CANOLA,OLIVE,COCONUT,PEANUT|Oil extracted
BRAHMS,STRAUSS,BACH,WAGNER,HANDEL|German composers
PLAYFUL,JOYFUL,CURIOUS,CUDDLY,CUTE,CLEVER,NAUGHTY,SLEEPY,FUNNY|My cat is ...
SYDNEY,ATHENS,BEIJING,LONDON,ATLANTA|Olympic cities
MIGRATE,SWIM,WADDLE,DIVE,NEST,QUACK|Ducks do it
CHEF,SPOON,TABLE,WINE,ORDER,NAPKIN,MENU,KITCHEN|Restaurant
PIXEL,HERTZ,PHONE,TON,WATT,BIT,BYTE|Mega...
TRAFFIC,TRAP,WEB,MOMENT,ROUTINE,LIFT|Things you get stuck in
EMERALD,LIME,FROG,AVOCADO,FOREST,GRASS|Green suits you
AIR,COFFEE,PHOTO,OIL,WATER,SPAM|Filter
CAKE,CLOWN,EVENT,GIFT,PRESENT,MUSIC,CANDLE,GUESTS|Birthday party
STOMACH,THUNDER,VOLCANO,TRAIN|Things that rumble
GIFT,CHIMNEY,CAROLS,JESUS,TREE,FAMILY,TINSEL|Christmas
RAINBOW,PUDDLE,WET,MUD,SPLASH,COAT,SHELTER,DAMP|Rainy day
TEETH,START,PROPHET,WITNESS,ALARM|False ...
LONDON,MONARCH,ROYALTY,GUARD,QUEEN|Buckingham Palace
ICEBERG,BUOY,BOAT,DUCK,CORK,GONDOLA,RAFT,YACHT,CANOE|Things that float
BREAK,BEAN,MACHINE,TABLE,SHOP,GRINDER,CUP|Coffee ...
AMAZON,LIMA,PERU,CHILE,BRAZIL,BOLIVIA,URUGUAY,ECUADOR|South America
HIKE,MARCH,STRIDE,STROLL,STUMBLE,WANDER,TIPTOE,PROWL,CREEP|Ways to walk
FLOWER,HEART,SKULL,ANCHOR,DRAGON,NAME|Popular tattoos
DRACULA,BLOOD,BITE,COFFIN,NIGHT,CROSS|Vampire
MURMUR,SHOUT,STUTTER,WHISPER,MUMBLE,QUIP,MUTTER,RANT|It's how you say it
FREEZER,OVEN,SILO,MOUTH,BASKET,BLENDER,CARTON,TUMMY|Put food in it
COMPANY,BUDGET,CAREER,SALARY,INCOME,PROFIT,FINANCE,OFFICE|It's business time
DUKE,DUCHESS,MASTER,SIR,BARON,DAME,COUNT,LORD|Titles
CATERER,CHEF,COURIER,COACH,CASHIER,CLEANER|Occupations: C...
WISH,MENU,TODO,GROCERY,PACKING|Lists
RING,VEIL,BOUQUET,HAIR,DRESS|On her wedding day
SERVICE,CODE,RECIPE,PASSAGE,AFFAIR,AGENT|Secret
HAND,NATURE,GUESS,CHANCE,CLASS|Second ...
JAPAN,CUBA,CYPRUS,BAHAMAS,JAMAICA,ICELAND,MALTA|Island nations
COFFEE,JASMINE,BACON,VANILLA,INCENSE|Smells good
DOWRY,ALTAR,AISLE,CAKE,KISS,CHAPEL,COUPLE,SPEECH,VOWS,RING|Wedding
HEART,CORN,TOOTH,DREAMS,SPOT,POTATO|Sweet
MATE,PEER,FRIEND,BUDDY,BRO,AMIGO,ALLY,CRONY|Acquaintance
FAILURE,BAD,REFUSAL,POOR,BROKEN,DENIED,GRIM|Thumbs down
NASTY,RUDE,VULGAR,MEAN,CRUEL,AWFUL,HOSTILE,CALLOUS|That's not nice!
MENU,MEMORY,MODEM,MOUSE,MONITOR,PIXEL,BYTE|Computer terms
SHAMPOO,DYE,COMB,BRUSH,GEL,MOUSSE|Hair stuff
GALAXY,LUNAR,METEOR,NEBULA,PLANET,COMET,COSMOS,CRATER|Astronomy
SPHINX,PYRAMID,TOMB,PHARAOH,MUMMY|Ancient Egypt
TURBO,JET,SWIFT,RAPID,HASTY,QUICK,CHEETAH,ROCKET|Fast
CALF,KITTEN,PUP,CHICK,CUB,JOEY,PIGLET|Baby animals
CUBE,CONE,TORUS,SPHERE,PYRAMID,PRISM|3D Geometry
TOLSTOY,WOOLF,ORWELL,DICKENS,HUGO,TWAIN|Famouse writers
BEACH,PICNIC,TAN,POOL,HOLIDAY,CAMP,SHORTS,SWEAT|Summer
ANKLE,ELBOW,KNEE,HIP,WRIST|Joints
FUSE,QUEST,SOLE,TEXT,TOUR,SERVE,FRONT,DENSE,JOIN|Con...
BREAD,BOARD,FLAG,GOLD,WASH,RUSSIAN,NOISE|White
BUFFALO,CATTLE,BISON,YAK,COW|Bovine
RADIO,TSUNAMI,HEAT,SOUND|Wave
OVEN,FLAVOR,RECIPE,SLICE,SUGAR,BAKE,FLOUR,SWEET|Cake
NILE,DANUBE,THAMES,AMAZON,VOLGA,RHINE|Rivers
NUT,NEEDLE,CONE,TREE,APPLE|Pine ...
YARD,SPACE,DOOR,BONE,HAND,FLIP,TRACK,PACK|Back ...
MASK,PEDAL,TANK,LEAK,LAMP,BILL,HEATER|Gas ...
SLINKY,FRISBEE,BARBIE,YOYO,LEGO,CAR|Toy box
BAKE,BURN,COOK,SLICE,CUT,PEEL,POUR,GRATE,GRILL|Done in the kitchen
PIZZA,BREAD,LIFE,CHEESE,HAM|A slice of ...
ROLE,RECORD,MUSIC,CARDS,GAME,DVD|Things you can play
MISSION,SPY,SECRET,STEALTH,AGENT,GADGET,COVERT|Espionage
GROUND,NOSE,TONGUE,TEMPER,FIRE|Hold your ...
PUMPKIN,SKULL,WITCH,CREEPY,PARTY,SCARY,TERROR|Halloween
BOOK,LIST,MARK,MATE,POINT,OVER|Check ...
BANDANA,CROWN,BERET,HELMET,FEDORA,TOUPEE|On your head
BURDEN,DUTY,METAL,ANVIL,WEIGHT,LIFTING|Heavy
SUBARU,HONDA,TOYOTA,NISSAN,MAZDA,SUZUKI|Japanese cars
BULB,SWITCH,WEIGHT,CANDLE,HOUSE,SABER|Light ...
CUCKOO,ATOMIC,ANALOG,ALARM,DIGITAL|Types of clock
DELETE,RENAME,COPY,CUT,PASTE|Edit
SELECT,OPT,DECIDE,CHOOSE,PICK|It's your choice
BROSNAN,CONNERY,CRAIG,MOORE|James Bond (actors)
STREET,ALLEY,LANE,AVENUE,HIGHWAY|Road
COAT,HEATER,SOCKS,SCARF,BLANKET,FLEECE,JACKET,SHAWL,VEST|Keeps you warm
CIRCUIT,STORY,TERM,HAND,FILM,SALE,WAVE,STRAW,ORDER|Short ...
GOOD,NEXT,LEAP,NEW,LIGHT,LAST,FISCAL|... year
ROLE,WORD,GAME,SCREEN,FAIR|... play
PANCAKE,MATE,BATTERY,STOMACH,TIRE,SHOES|Flat ...
RUBBISH,JUNK,GARBAGE,WASTE,LITTER|Trash
BRUNCH,LUNCH,SUPPER,DESSERT,DINNER|Meal time
MOON,GLOBE,MELON,BUBBLE,DROPLET|Spherical
OMEGA,ALPHA,GAMMA,BETA,DELTA,SIGMA,EPSILON|Greek alphabet
NUMBER,ESTATE,MADRID,TIME|Real ...
